sku_id,horizon_demand,on_hand_units,on_order_units,available_stock,stockout_risk,overstock_risk,recommended_action
SKU0001,1326.0251131929138,141,66,207,1,0,Reorder now
SKU0002,2743.154948830552,94,0,94,1,0,Reorder now
SKU0003,81.7202963184356,159,0,159,0,0,Healthy
SKU0004,13.186913266026794,121,0,121,0,1,Markdown / clear
SKU0005,36.737080946851506,116,0,116,0,1,Markdown / clear
SKU0006,1060.9542030912555,172,0,172,1,0,Reorder now
SKU0007,538.1966318940922,128,0,128,1,0,Reorder now
SKU0008,1346.4843336996983,95,0,95,1,0,Reorder now
SKU0009,936.0742104837556,137,0,137,1,0,Reorder now
SKU0010,2886.9107255821364,131,33,164,1,0,Reorder now
SKU0011,2130.672497656912,234,41,275,1,0,Reorder now
SKU0012,69.65700910702972,26,0,26,1,0,Reorder now
SKU0013,197.48744481889386,183,0,183,1,0,Reorder now
SKU0014,667.9617588501478,78,22,100,1,0,Reorder now
SKU0015,970.2084251881519,85,51,136,1,0,Reorder now
SKU0016,1875.9520409517982,180,0,180,1,0,Reorder now
SKU0017,37.08659656490559,49,0,49,0,0,Healthy
SKU0018,14.203216834941154,50,0,50,0,1,Markdown / clear
SKU0019,81.5136544199319,171,0,171,0,1,Markdown / clear
SKU0020,285.34555129294614,0,0,0,1,0,Reorder now
SKU0021,413.7664878954389,174,0,174,1,0,Reorder now
SKU0022,1549.2465032402802,77,0,77,1,0,Reorder now
SKU0023,1202.311644856369,135,0,135,1,0,Reorder now
SKU0024,44.90374855123379,180,47,227,0,1,Markdown / clear
SKU0025,56.698612703552406,144,31,175,0,1,Markdown / clear
SKU0026,2808.3786363253266,46,0,46,1,0,Reorder now
SKU0027,275.1544228183565,43,0,43,1,0,Reorder now
SKU0028,131.01997345607614,63,41,104,1,0,Reorder now
SKU0029,305.51969079849755,98,81,179,1,0,Reorder now
SKU0030,424.09079599108145,150,0,150,1,0,Reorder now
SKU0031,13.186913266026794,111,0,111,0,1,Markdown / clear
SKU0032,2786.4613308861744,72,0,72,1,0,Reorder now
SKU0033,256.24232573142024,52,0,52,1,0,Reorder now
SKU0034,856.8499322505443,112,0,112,1,0,Reorder now
SKU0035,448.90052859917864,4,12,16,1,0,Reorder now
SKU0036,120.59567822856532,134,0,134,0,0,Healthy
SKU0037,164.0318882510185,176,0,176,0,0,Healthy
SKU0038,1796.3926654970892,62,22,84,1,0,Reorder now
SKU0039,49.8050723163471,108,0,108,0,1,Markdown / clear
SKU0040,2735.601648424343,91,110,201,1,0,Reorder now
SKU0041,294.07636563391304,19,84,103,1,0,Reorder now
SKU0042,562.433437691874,161,0,161,1,0,Reorder now
SKU0043,1478.4090493020074,79,0,79,1,0,Reorder now
SKU0044,13.186913266026794,0,0,0,1,0,Reorder now
SKU0045,281.3161204823566,250,0,250,1,0,Reorder now
SKU0046,1450.8367976275495,208,0,208,1,0,Reorder now
SKU0047,502.1703373152631,66,0,66,1,0,Reorder now
SKU0048,142.58244262112555,94,0,94,1,0,Reorder now
SKU0049,1830.3036770065664,105,0,105,1,0,Reorder now
SKU0050,316.1486982207153,121,0,121,1,0,Reorder now
SKU0051,13.186913266026794,41,110,151,0,1,Markdown / clear
SKU0052,511.6460233137491,52,0,52,1,0,Reorder now
SKU0053,67.48021142925538,53,81,134,0,0,Healthy
SKU0054,718.0460035237069,95,30,125,1,0,Reorder now
SKU0055,37.05707978692704,69,0,69,0,0,Healthy
SKU0056,1709.6943849258973,52,0,52,1,0,Reorder now
SKU0057,2492.9373169177616,76,54,130,1,0,Reorder now
SKU0058,195.27364832646785,97,0,97,1,0,Reorder now
SKU0059,843.101800512678,42,0,42,1,0,Reorder now
SKU0060,96.9889273815501,73,0,73,1,0,Reorder now
SKU0061,30.74707116803308,88,93,181,0,1,Markdown / clear
SKU0062,1164.7487354825516,99,0,99,1,0,Reorder now
SKU0063,714.5112142083628,0,0,0,1,0,Reorder now
SKU0064,294.1520128296635,94,0,94,1,0,Reorder now
SKU0065,1320.2600741232131,69,97,166,1,0,Reorder now
SKU0066,2766.725970867169,106,0,106,1,0,Reorder now
SKU0067,39.43049519414628,117,50,167,0,1,Markdown / clear
SKU0068,2129.425594923601,133,0,133,1,0,Reorder now
SKU0069,1182.395056000662,127,0,127,1,0,Reorder now
SKU0070,1246.1280530640101,58,99,157,1,0,Reorder now
SKU0071,347.4013401038342,165,0,165,1,0,Reorder now
SKU0072,2634.45100285578,136,0,136,1,0,Reorder now
SKU0073,1087.9131749021803,142,99,241,1,0,Reorder now
SKU0074,1541.8426977121512,132,0,132,1,0,Reorder now
SKU0075,604.3283898940576,120,0,120,1,0,Reorder now
SKU0076,236.4561901330835,65,30,95,1,0,Reorder now
SKU0077,2243.065856140792,196,0,196,1,0,Reorder now
SKU0078,1562.7698622162561,101,0,101,1,0,Reorder now
SKU0079,40.89324735565185,47,0,47,0,0,Healthy
SKU0080,27.02327346050196,189,0,189,0,1,Markdown / clear
SKU0081,1889.4322535415672,120,0,120,1,0,Reorder now
SKU0082,220.00582909894172,211,0,211,1,0,Reorder now
SKU0083,82.09232458347826,56,35,91,0,0,Healthy
SKU0084,55.79476146631289,63,0,63,0,0,Healthy
SKU0085,1473.4032891653142,117,0,117,1,0,Reorder now
SKU0086,227.50573889951568,29,8,37,1,0,Reorder now
SKU0087,77.23060747608916,120,1,121,0,0,Healthy
SKU0088,1870.4830534664886,146,0,146,1,0,Reorder now
SKU0089,63.818176697855996,72,0,72,0,0,Healthy
SKU0090,2715.476467894248,199,69,268,1,0,Reorder now
SKU0091,103.14229793397377,68,0,68,1,0,Reorder now
SKU0092,1889.6071813692345,29,94,123,1,0,Reorder now
SKU0093,2691.744632836991,77,0,77,1,0,Reorder now
SKU0094,177.7734409419048,187,0,187,0,0,Healthy
SKU0095,1062.3884207829963,38,0,38,1,0,Reorder now
SKU0096,1864.3826592001255,71,0,71,1,0,Reorder now
SKU0097,86.19606160046885,130,87,217,0,0,Healthy
SKU0098,348.88661400935223,140,67,207,1,0,Reorder now
SKU0099,105.93309051958042,142,0,142,0,0,Healthy
SKU0100,12.307985839257597,64,0,64,0,1,Markdown / clear
SKU0101,1241.2806866924166,52,0,52,1,0,Reorder now
SKU0102,1330.7652845677742,84,0,84,1,0,Reorder now
SKU0103,132.8937604128447,164,105,269,0,0,Healthy
SKU0104,2102.1106587573045,51,57,108,1,0,Reorder now
SKU0105,12.307985839257597,56,0,56,0,1,Markdown / clear
SKU0106,1880.379797235965,191,0,191,1,0,Reorder now
SKU0107,274.4537391759551,131,4,135,1,0,Reorder now
SKU0108,13.186913266026794,105,0,105,0,1,Markdown / clear
