sku_id,date,weekly_units
SKU0001,2024-01-07,131
SKU0001,2024-01-14,125
SKU0001,2024-01-21,160
SKU0001,2024-01-28,102
SKU0001,2024-02-04,114
SKU0001,2024-02-11,98
SKU0001,2024-02-18,98
SKU0001,2024-02-25,113
SKU0001,2024-03-03,93
SKU0001,2024-03-10,77
SKU0001,2024-03-17,98
SKU0001,2024-03-24,101
SKU0001,2024-03-31,81
SKU0001,2024-04-07,96
SKU0001,2024-04-14,104
SKU0001,2024-04-21,88
SKU0001,2024-04-28,56
SKU0001,2024-05-05,73
SKU0001,2024-05-12,81
SKU0001,2024-05-19,71
SKU0001,2024-05-26,78
SKU0001,2024-06-02,84
SKU0001,2024-06-09,82
SKU0001,2024-06-16,68
SKU0001,2024-06-23,62
SKU0001,2024-06-30,69
SKU0001,2024-07-07,62
SKU0001,2024-07-14,60
SKU0001,2024-07-21,84
SKU0001,2024-07-28,85
SKU0001,2024-08-04,81
SKU0001,2024-08-11,96
SKU0001,2024-08-18,89
SKU0001,2024-08-25,79
SKU0001,2024-09-01,86
SKU0001,2024-09-08,101
SKU0001,2024-09-15,103
SKU0001,2024-09-22,126
SKU0001,2024-09-29,129
SKU0001,2024-10-06,136
SKU0001,2024-10-13,127
SKU0001,2024-10-20,169
SKU0001,2024-10-27,244
SKU0001,2024-11-03,168
SKU0001,2024-11-10,157
SKU0001,2024-11-17,169
SKU0001,2024-11-24,195
SKU0001,2024-12-01,254
SKU0001,2024-12-08,193
SKU0001,2024-12-15,187
SKU0001,2024-12-22,202
SKU0001,2024-12-29,184
SKU0001,2025-01-05,172
SKU0001,2025-01-12,183
SKU0001,2025-01-19,290
SKU0001,2025-01-26,190
SKU0001,2025-02-02,173
SKU0001,2025-02-09,155
SKU0001,2025-02-16,162
SKU0001,2025-02-23,181
SKU0001,2025-03-02,146
SKU0001,2025-03-09,139
SKU0001,2025-03-16,145
SKU0001,2025-03-23,133
SKU0001,2025-03-30,141
SKU0001,2025-04-06,150
SKU0001,2025-04-13,108
SKU0001,2025-04-20,135
SKU0001,2025-04-27,111
SKU0001,2025-05-04,118
SKU0001,2025-05-11,98
SKU0001,2025-05-18,81
SKU0001,2025-05-25,98
SKU0001,2025-06-01,105
SKU0001,2025-06-08,144
SKU0001,2025-06-15,91
SKU0001,2025-06-22,108
SKU0001,2025-06-29,105
SKU0001,2025-07-06,104
SKU0001,2025-07-13,121
SKU0001,2025-07-20,119
SKU0001,2025-07-27,124
SKU0001,2025-08-03,103
SKU0001,2025-08-10,132
SKU0001,2025-08-17,135
SKU0001,2025-08-24,139
SKU0001,2025-08-31,133
SKU0001,2025-09-07,142
SKU0001,2025-09-14,155
SKU0001,2025-09-21,181
SKU0001,2025-09-28,180
SKU0001,2025-10-05,47
SKU0002,2024-01-07,154
SKU0002,2024-01-14,157
SKU0002,2024-01-21,197
SKU0002,2024-01-28,141
SKU0002,2024-02-04,141
SKU0002,2024-02-11,151
SKU0002,2024-02-18,143
SKU0002,2024-02-25,148
SKU0002,2024-03-03,111
SKU0002,2024-03-10,138
SKU0002,2024-03-17,149
SKU0002,2024-03-24,145
SKU0002,2024-03-31,118
SKU0002,2024-04-07,128
SKU0002,2024-04-14,149
SKU0002,2024-04-21,129
SKU0002,2024-04-28,123
SKU0002,2024-05-05,115
SKU0002,2024-05-12,99
SKU0002,2024-05-19,113
SKU0002,2024-05-26,113
SKU0002,2024-06-02,151
SKU0002,2024-06-09,131
SKU0002,2024-06-16,102
SKU0002,2024-06-23,97
SKU0002,2024-06-30,112
SKU0002,2024-07-07,112
SKU0002,2024-07-14,122
SKU0002,2024-07-21,131
SKU0002,2024-07-28,144
SKU0002,2024-08-04,141
SKU0002,2024-08-11,146
SKU0002,2024-08-18,169
SKU0002,2024-08-25,172
SKU0002,2024-09-01,184
SKU0002,2024-09-08,177
SKU0002,2024-09-15,195
SKU0002,2024-09-22,225
SKU0002,2024-09-29,220
SKU0002,2024-10-06,223
SKU0002,2024-10-13,258
SKU0002,2024-10-20,318
SKU0002,2024-10-27,449
SKU0002,2024-11-03,289
SKU0002,2024-11-10,267
SKU0002,2024-11-17,283
SKU0002,2024-11-24,353
SKU0002,2024-12-01,447
SKU0002,2024-12-08,345
SKU0002,2024-12-15,329
SKU0002,2024-12-22,322
SKU0002,2024-12-29,336
SKU0002,2025-01-05,344
SKU0002,2025-01-12,332
SKU0002,2025-01-19,495
SKU0002,2025-01-26,343
SKU0002,2025-02-02,337
SKU0002,2025-02-09,325
SKU0002,2025-02-16,334
SKU0002,2025-02-23,312
SKU0002,2025-03-02,296
SKU0002,2025-03-09,313
SKU0002,2025-03-16,318
SKU0002,2025-03-23,270
SKU0002,2025-03-30,266
SKU0002,2025-04-06,277
SKU0002,2025-04-13,236
SKU0002,2025-04-20,239
SKU0002,2025-04-27,250
SKU0002,2025-05-04,245
SKU0002,2025-05-11,237
SKU0002,2025-05-18,197
SKU0002,2025-05-25,209
SKU0002,2025-06-01,253
SKU0002,2025-06-08,289
SKU0002,2025-06-15,226
SKU0002,2025-06-22,201
SKU0002,2025-06-29,211
SKU0002,2025-07-06,224
SKU0002,2025-07-13,231
SKU0002,2025-07-20,239
SKU0002,2025-07-27,256
SKU0002,2025-08-03,264
SKU0002,2025-08-10,270
SKU0002,2025-08-17,294
